iter	RMSE
349	43.50003858
350	43.49740387
351	43.49610024
352	43.4943859
353	43.491369
354	43.48933182
355	43.48700978
356	43.48482557
357	43.48294909
358	43.48039219
359	43.47840256
360	43.47666258
361	43.47486683
362	43.47176743
363	43.47009292
364	43.46850047
365	43.46669416
366	43.46451166
367	43.46233769
368	43.46065233
369	43.45911643
370	43.45664765
371	43.45348127
372	43.45183252
373	43.44899329
374	43.44776306
375	43.4456268
376	43.44356503
377	43.44168831
378	43.43931098
379	43.4382222
380	43.43597959
381	43.43403858
382	43.43378861
383	43.43159
384	43.43104399
385	43.42958708
386	43.42792367
387	43.42560754
388	43.42340993
389	43.4217223
390	43.42010238
391	43.41798727
392	43.41595419
393	43.41444671
394	43.41259019
395	43.41078879
396	43.40869145
397	43.40695044
398	43.40488735
399	43.40240186
400	43.40040868
401	43.39786399
402	43.39618998
403	43.39457098
404	43.39218145
405	43.38951223
406	43.38798527
407	43.38682324
408	43.38456985
409	43.38280353
410	43.38160177
411	43.37885354
412	43.37686924
413	43.37558304
414	43.37445273
415	43.37195765
416	43.37030922
417	43.3678979
418	43.36528549
419	43.36320459
420	43.36146848
421	43.35948122
422	43.35748728
423	43.3559589
424	43.35319509
425	43.35123055
426	43.34882291
427	43.34834874
428	43.34703584
429	43.34465396
430	43.34324094
431	43.34113769
432	43.33949716
433	43.3376071
434	43.33615243
435	43.33386554
436	43.33234508
437	43.3298457
438	43.32826218
439	43.32624152
440	43.32572431
441	43.32281872
442	43.32098387
443	43.31923637
444	43.31720231
445	43.31473299
446	43.31291398
447	43.31180633
448	43.30959855
449	43.30808609
450	43.30593123
451	43.30443896
452	43.30304235
453	43.30185998
454	43.29960759
455	43.29762174
456	43.29549728
457	43.29371582
458	43.29132074
459	43.28872216
460	43.28730159
461	43.28460015
462	43.28281617
463	43.28071887
464	43.27910062
465	43.2778739
466	43.27620057
467	43.27459687
468	43.27296017
469	43.2706008
470	43.2704005
471	43.26872157
472	43.26715297
473	43.26576689
474	43.26366854
475	43.26262322
476	43.2607097
477	43.25903409
478	43.25762639
479	43.25621171
480	43.25358833
481	43.25150392
482	43.25036244
483	43.24876486
484	43.2473144
485	43.24726917
486	43.24504676
487	43.2438268
488	43.24235944
489	43.24042469
490	43.23752981
491	43.23556608
492	43.23382839
493	43.23207371
494	43.23081752
495	43.22867189
496	43.22656099
497	43.22530599
498	43.22397398
499	43.2222686
500	43.22085318
501	43.21930965
502	43.21810046
503	43.21683862
504	43.21524987
505	43.21320943
506	43.21135896
507	43.20965261
508	43.20805553
509	43.20592884
510	43.20454225
511	43.20294949
512	43.201611
513	43.19988663
514	43.19825759
515	43.19568245
516	43.19392958
517	43.19240107
518	43.18980434
519	43.18811406
520	43.18622716
521	43.18467868
522	43.18243813
523	43.18111989
524	43.17966887
525	43.17824796
526	43.17643232
527	43.17495398
528	43.17225974
529	43.17039987
530	43.16909182
531	43.16817116
532	43.16579574
533	43.16295814
534	43.16093933
535	43.15956748
536	43.15759756
537	43.15511475
538	43.15379466
539	43.15272997
540	43.1506779
541	43.14928229
542	43.1477408
543	43.14591425
544	43.14424375
545	43.14210185
546	43.14068482
547	43.139139
548	43.13826674
549	43.13674724
550	43.1345992
551	43.13272467
552	43.13253292
553	43.13121683
554	43.13047256
555	43.12893293
556	43.12724838
557	43.12614665
558	43.12422886
559	43.12208974
560	43.12045886
561	43.11803534
562	43.11621626
563	43.11545009
564	43.11387922
565	43.11251059
566	43.11052556
567	43.10872435
568	43.106342
569	43.10552348
570	43.10345756
571	43.10067783
572	43.09798445
573	43.09581843
574	43.09516326
575	43.09324023
576	43.0907564
577	43.0887443
578	43.08693392
579	43.08475347
580	43.08304648
581	43.08163651
582	43.07938816
583	43.07757299
584	43.07526447
585	43.07370414
586	43.07186029
587	43.06993702
588	43.06844985
589	43.06585133
590	43.06387005
591	43.06244877
592	43.05963896
593	43.0574483
594	43.05627368
595	43.0549166
596	43.05393462
597	43.05263151
598	43.05018877
599	43.04861184
600	43.04717102
601	43.04543189
602	43.04399928
603	43.04198894
604	43.03979195
605	43.03805777
606	43.03681641
607	43.03462362
608	43.03301512
609	43.03092111
610	43.02913077
611	43.0280048
612	43.02644916
